Date,Open,High,Low,Close,Adj Close,Volume
2019-03-21,59.490002,60.099998,59.450001,59.820000,57.845997,2205500
2019-03-22,59.169998,59.709999,56.310001,56.910000,55.032028,3025600
2019-03-25,56.709999,58.720001,56.349998,58.270000,56.347149,3417800
2019-03-26,58.740002,58.959999,57.939999,58.230000,56.308468,1641500
2019-03-27,58.049999,59.009998,57.730000,58.939999,56.995041,2815900
2019-03-28,59.849998,60.959999,58.770000,60.380001,58.387520,3349700
2019-03-29,60.610001,60.750000,59.330002,60.599998,58.600258,2688000
2019-04-01,61.060001,61.279999,59.889999,61.200001,59.180458,2889300
2019-04-02,61.220001,61.509998,60.520000,60.650002,58.648609,3672200
2019-04-03,61.209999,62.310001,60.820000,61.799999,59.760658,2897700
2019-04-04,61.889999,64.470001,61.810001,64.449997,62.323208,3126400
2019-04-05,64.709999,65.040001,63.669998,63.700001,61.597965,2978900
2019-04-08,63.750000,64.400002,63.090000,63.330002,61.240177,2525200
2019-04-09,63.009998,63.060001,60.910000,61.110001,59.093433,3362200
2019-04-10,60.220001,61.240002,60.080002,61.240002,59.219143,3165900
2019-04-11,61.320000,61.959999,60.529999,60.720001,58.716305,2971000
2019-04-12,61.150002,61.959999,60.950001,61.900002,59.857365,1893800
2019-04-15,61.810001,63.090000,61.529999,63.020000,60.940403,2267100
2019-04-16,63.369999,63.580002,62.889999,63.570000,61.472252,2562700
2019-04-17,63.150002,63.419998,62.450001,62.759998,61.053944,1520000
2019-04-18,62.759998,62.830002,61.740002,61.820000,60.139492,1472200
2019-04-22,61.610001,61.799999,59.450001,59.669998,58.047935,1933000
2019-04-23,59.939999,60.560001,59.130001,60.240002,58.602451,1920100
2019-04-24,60.599998,62.000000,60.299999,61.799999,60.120037,1410000
2019-04-25,61.810001,61.980000,60.310001,60.410000,58.767826,1532500
2019-04-26,60.220001,60.230000,59.189999,59.340000,57.726910,1891100
2019-04-29,59.200001,59.400002,58.560001,58.790001,57.191864,1736000
2019-04-30,58.650002,59.000000,56.990002,57.209999,55.654812,3575900
2019-05-01,57.230000,57.360001,56.040001,56.090000,54.565258,3226600
2019-05-02,56.430000,56.919998,55.279999,55.820000,54.302597,2486200
2019-05-03,55.930000,56.000000,55.009998,55.270000,53.767551,2346100
2019-05-06,54.380001,54.700001,53.410000,54.360001,52.882290,2953300
2019-05-07,54.200001,54.779999,53.099998,54.240002,52.765553,3928400
2019-05-08,54.009998,56.480000,53.919998,55.939999,54.419334,4640800
2019-05-09,55.599998,57.310001,55.599998,56.869999,55.324055,4323300
2019-05-10,56.869999,58.009998,56.419998,57.630001,56.063396,3451400
2019-05-13,56.529999,56.869999,54.669998,56.040001,54.516621,2944900
2019-05-14,56.040001,57.139999,55.130001,56.680000,55.139221,2617800
2019-05-15,56.279999,56.360001,55.209999,55.840000,54.322052,2583100
2019-05-16,56.230000,56.750000,55.090000,55.470001,53.962112,2873300
2019-05-17,55.549999,56.660000,55.119999,55.200001,53.699451,2899000
2019-05-20,55.150002,55.500000,54.090000,55.349998,53.845371,2683700
2019-05-21,55.480000,56.430000,55.060001,56.160000,54.633358,2860300
2019-05-22,55.650002,56.000000,54.200001,54.200001,52.726639,3609400
2019-05-23,54.110001,54.330002,52.189999,52.830002,51.393879,4425200
2019-05-24,44.889999,45.400002,43.040001,44.400002,43.193043,27641300
2019-05-28,43.910000,45.000000,42.619999,42.650002,41.490612,8675900
2019-05-29,42.320000,42.480000,40.869999,41.520000,40.391327,6957900
2019-05-30,41.650002,41.980000,40.700001,40.759998,39.651989,4305100
2019-05-31,40.110001,40.680000,39.150002,39.349998,38.280315,5691300
2019-06-03,39.250000,40.889999,39.060001,40.240002,39.146126,4040500
2019-06-04,40.660000,41.650002,40.450001,41.020000,39.904919,4093300
2019-06-05,41.369999,41.770000,40.139999,40.939999,39.827095,5366000
2019-06-06,40.810001,41.250000,39.840000,40.840000,39.729813,4745000
2019-06-07,40.750000,42.610001,40.750000,42.200001,41.052845,4357900
2019-06-10,42.270000,42.790001,41.180000,41.290001,40.167583,2972800
2019-06-11,41.610001,42.459999,41.580002,41.810001,40.673447,3294200
2019-06-12,41.630001,42.470001,41.439999,42.169998,41.023655,2555600
2019-06-13,42.459999,43.849998,42.410000,43.049999,41.879738,4571900
2019-06-14,43.099998,43.340000,42.099998,43.119999,41.947830,3501200
2019-06-17,43.099998,43.099998,42.340000,42.509998,41.354416,2899000
2019-06-18,42.599998,42.860001,41.689999,41.939999,40.799904,3878200
2019-06-19,42.009998,42.220001,40.919998,41.630001,40.498337,3016800
2019-06-20,41.860001,41.930000,41.080002,41.770000,40.634533,2171800
2019-06-21,41.840000,42.570000,41.439999,42.270000,41.120945,3030400
2019-06-24,42.110001,42.910000,41.869999,42.450001,41.296047,2408700
2019-06-25,42.500000,42.790001,41.840000,41.860001,40.722084,2802600
2019-06-26,41.980000,42.000000,41.020000,41.060001,39.943836,2660000
2019-06-27,41.279999,41.549999,40.889999,41.119999,40.002197,3482200
2019-06-28,41.250000,42.480000,41.250000,41.919998,40.780453,3164200
2019-07-01,42.480000,43.279999,42.060001,42.230000,41.082024,2686600
2019-07-02,42.060001,42.119999,40.570000,40.610001,39.506065,2943900
2019-07-03,40.759998,41.570000,40.619999,41.200001,40.080029,1918100
2019-07-05,41.060001,42.349998,40.840000,42.060001,40.916653,3364000
2019-07-08,41.889999,42.099998,41.380001,42.000000,40.858280,2222600
2019-07-09,41.980000,42.360001,41.119999,41.240002,40.118938,2972800
2019-07-10,41.430000,41.619999,40.759998,40.810001,39.700630,2278300
2019-07-11,41.060001,41.349998,40.720001,41.270000,40.148125,2017500
2019-07-12,41.279999,42.349998,41.200001,41.869999,40.731812,2027100
2019-07-15,42.009998,42.439999,41.680000,42.110001,40.965290,2229500
2019-07-16,42.110001,42.220001,41.200001,41.200001,40.080029,2667700
2019-07-17,41.119999,42.049999,41.000000,41.849998,40.712357,3350600
2019-07-18,41.290001,42.439999,41.009998,42.349998,41.576279,3259700
2019-07-19,42.570000,42.950001,42.029999,42.040001,41.271946,2963300
2019-07-22,42.290001,42.939999,41.720001,42.290001,41.517380,2494900
2019-07-23,42.410000,43.080002,42.130001,42.939999,42.155499,1762500
2019-07-24,43.049999,43.419998,42.150002,43.169998,42.381298,2663300
